Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Trans Creeper Gear,Unique Label?,Air Aspiration Method Desc,Fuel Metering Sys Desc,Cyl Deact?
,6,33.9853,9,,2,2,N,,none given,Common Rail Direct Diesel Injection,N
3.5,6,25.6832,6,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,
3.5,6,27.3233,6,15.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
,6,38.6615,6,15.0,2,2,N,N,Naturally Aspirated,@@@@@,N
5.0,8,17.2204,6,10.0,2,2,N,N,Supercharged,Multipoint/sequential fuel injection,   
1.8,4,40.4893,6,10.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,   
2.0,4,37.46,7,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,   
,6,29.4792,7,10.0,2,2,N,,Naturally Aspirated,Spark Ignition Direct Injection,
,6,26.3559,6,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
3.0,6,30.2755,8,10.0,2,2,N,N,none given,@@@@@,   
,4,28.5872,6,85.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,N
1.8,4,34.858,6,15.0,2,2,N,N,Turbocharged,@@@@@,   
2.4,4,31.4586,9,10.0,2,2,N,N,Naturally Aspirated,@@@@@,N
3.7,6,26.2931,6,15.0,2,2,N,N,Naturally Aspirated,@@@@@,N
1.4,4,37.7104,6,10.0,2,2,N,N,Turbocharged,Multipoint/sequential fuel injection,
3.7,6,25.5795,7,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,   
3.0,6,26.1317,6,10.0,2,2,N,N,Turbocharged,@@@@@,N
,8,22.8351,8,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition Direct Injection,
3.5,6,20.7441,6,15.0,2,2,N,Y,Turbocharged,Spark Ignition Direct Injection,N
2.0,4,31.524,6,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
,6,28.0618,8,10.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
,8,19.0009,8,15.0,2,2,N,N,Naturally Aspirated,Multipoint/sequential fuel injection,   
,4,28.4872,6,15.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
2.0,4,36.7729,6,10.0,2,2,N,N,none given,@@@@@,
2.4,4,31.5846,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
2.0,4,31.3542,6,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
1.8,4,57.4981,1,15.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
,6,21.2882,6,15.0,2,2,N,N,Turbocharged,Spark Ignition Direct Injection,N
1.5,4,47.9062,1,10.0,2,2,N,N,none given,Spark Ignition Direct Injection,N
,6,29.6903,7,10.0,2,2,N,N,none given,Multipoint/sequential fuel injection,N
6.0,8,15.9434,6,10.0,1,1,N,N,Naturally Aspirated,@@@@@,N
,6,40.7884,6,15.0,2,2,N,N,Naturally Aspirated,Spark Ignition direct & ported injection,N
,8,19.4738,7,10.0,2,2,N,,Turbocharged,@@@@@,N
3.5,6,30.071,6,10.0,2,2,N,N,Naturally Aspirated,@@@@@,Y
1.8,4,73.9715,1,15.0,2,2,N,Y,Naturally Aspirated,Multipoint/sequential fuel injection,   
2.0,4,34.7884,8,10.0,2,2,N,N,Turbocharged,@@@@@,
,8,21.4008,8,10.0,1,1,N,N,none given,Spark Ignition Direct Injection,Y
