Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Var Valve Lift?,Fuel Metering Sys Desc,Stop/Start System (Engine Management System)  Description,Air Aspiration Method Desc,Label Recalc?
2.5,4,31.5404,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.5,4,28.9412,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
5.2,12,22.8444,8,10.0,2,2,N,Multipoint/sequential fuel injection,No,Turbocharged,N
6.0,12,20.4316,8,10.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
3.9,8,24.046999999999997,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.9,8,23.5433,7,10.0,2,2,N,Spark Ignition Direct Injection,No,Turbocharged,N
6.3,12,16.97,7,10.0,2,2,N,Spark Ignition Direct Injection,Yes,Naturally Aspirated,N
1.4,4,40.022,6,10.0,2,2,Y,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
3.5,6,25.0504,6,10.0,2,2,N,Multipoint/sequential fuel injection,No,Supercharged,N
3.5,6,23.961,6,10.0,2,2,N,Multipoint/sequential fuel injection,No,Supercharged,N
2.0,4,36.2759,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,33.7414,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
1.5,3,40.9592,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
1.5,3,43.1375,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,38.0851,6,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,35.2009,6,10.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
3.0,6,33.1487,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,30.5533,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.4871,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.854,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.7473,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.3892,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.1178,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,27.9005,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,28.868000000000002,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,27.5387,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.426,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.68,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.6194,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.3392,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.1894,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,30.0331,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.7936,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,27.5286,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.0593,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,27.8536,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.3386,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.903000000000002,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,32.0454,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.7799,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.9712,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.3892,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,28.688000000000002,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,26.908,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,31.1907,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.0,6,29.3392,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.8,6,27.0436,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.8,6,26.9406,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.8,6,27.0436,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
3.8,6,26.9406,7,10.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.92,6,10.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
2.0,4,31.9159,6,10.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
2.0,4,36.1919,6,10.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
2.0,4,31.3545,6,10.0,2,2,N,Spark Ignition direct & ported injection,No,Naturally Aspirated,N
6.0,12,21.3382,8,10.0,2,2,N,Multipoint/sequential fuel injection,No,Naturally Aspirated,N
2.0,4,38.7033,7,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,38.0198,7,15.0,2,2,Y,Spark Ignition Direct Injection,No,Turbocharged,N
2.0,4,31.9996,6,15.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,36.3562,6,15.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
2.0,4,31.4377,8,85.0,2,2,Y,Spark Ignition Direct Injection,Yes,Turbocharged,N
